province,pct_change,literate,illiterate
Balochistan,-0.013834318,0.414041453,0.585958547
NWFP,0.045917879,0.505974724,0.494025276
Punjab,0.040790637,0.60993622,0.39006378
Sindh,-0.046063018,0.525274504,0.474725496
